ValuationDate,Currency,CurveName,Instrument,Tenor,Value,Type
6/26/2018,CAD,USD/CAD,CAD.Dp.10Y,10Y,-89.5,Dp
6/26/2018,CAD,USD/CAD,CAD.Dp.18M,18M,-3.5,Dp
6/26/2018,CAD,USD/CAD,CAD.Dp.1M,1M,-3.8,Dp
6/26/2018,CAD,USD/CAD,CAD.Dp.1W,1W,-1.565,Dp
6/26/2018,CAD,USD/CAD,CAD.Dp.1Y,1Y,-7.1,Dp
6/26/2018,CAD,USD/CAD,CAD.Dp.2M,2M,-7.1,Dp
6/26/2018,CAD,USD/CAD,CAD.Dp.2Y,2Y,-12.3,Dp
6/26/2018,CAD,USD/CAD,CAD.Dp.3M,3M,-12.5,Dp
6/26/2018,CAD,USD/CAD,CAD.Dp.3Y,3Y,-108.2,Dp
6/26/2018,CAD,USD/CAD,CAD.Dp.4M,4M,-67.1,Dp
6/26/2018,CAD,USD/CAD,CAD.Dp.4Y,4Y,-112.6,Dp
6/26/2018,CAD,USD/CAD,CAD.Dp.5M,5M,-19.9,Dp
6/26/2018,CAD,USD/CAD,CAD.Dp.5Y,5Y,-115.3,Dp
6/26/2018,CAD,USD/CAD,CAD.Dp.6M,6M,-23.3,Dp
6/26/2018,CAD,USD/CAD,CAD.Dp.6Y,6Y,-98.4,Dp
6/26/2018,CAD,USD/CAD,CAD.Dp.7Y,7Y,-115.8,Dp
6/26/2018,CAD,USD/CAD,CAD.Dp.8Y,8Y,-119.4,Dp
6/26/2018,CAD,USD/CAD,CAD.Dp.9M,9M,-33.7,Dp
6/26/2018,CAD,USD/CAD,CAD.Dp.9Y,9Y,-104.6,Dp
6/26/2018,CAD,USD/CAD,CAD.Dp.O,O,-0.2045,Dp
6/26/2018,CAD,USD/CAD,CAD.Dp.T,T,-0.2,Dp
6/26/2018,CAD,USD/CAD,USD/CAD,S,1.29,Spot
