ValuationDate,VolatilitySurfaceName,Expiry,Delta,VolatilitySmile,Volatility,,,
6/26/2018,USD/CAD,1D,10,Butterfly,0.0066,,,
6/26/2018,USD/CAD,1D,10,Risk_Reversal,0.0064,,,
6/26/2018,USD/CAD,1D,25,Butterfly,0.001225,,,
6/26/2018,USD/CAD,1D,25,Risk_Reversal,0.003675,,,
6/26/2018,USD/CAD,1D,50,Volatility,0.0777,,,
6/26/2018,USD/CAD,1M,10,Butterfly,0.0045,,,
6/26/2018,USD/CAD,1M,10,Risk_Reversal,0.00555,,,
6/26/2018,USD/CAD,1M,25,Butterfly,0.0017,,,
6/26/2018,USD/CAD,1M,25,Risk_Reversal,0.00325,,,
6/26/2018,USD/CAD,1M,50,Volatility,0.0696,,,
6/26/2018,USD/CAD,1W,10,Butterfly,0.0034,,,
6/26/2018,USD/CAD,1W,10,Risk_Reversal,0.0053,,,
6/26/2018,USD/CAD,1W,25,Butterfly,0.001325,,,
6/26/2018,USD/CAD,1W,25,Risk_Reversal,0.003075,,,
6/26/2018,USD/CAD,1W,50,Volatility,0.066825,,,
6/26/2018,USD/CAD,1Y,10,Butterfly,0.0089,,,
6/26/2018,USD/CAD,1Y,10,Risk_Reversal,0.0126,,,
6/26/2018,USD/CAD,1Y,25,Butterfly,0.0029,,,
6/26/2018,USD/CAD,1Y,25,Risk_Reversal,0.00705,,,
6/26/2018,USD/CAD,1Y,50,Volatility,0.07185,,,
6/26/2018,USD/CAD,2D,10,Butterfly,0.0058,,,
6/26/2018,USD/CAD,2D,10,Risk_Reversal,0.006125,,,
6/26/2018,USD/CAD,2D,25,Butterfly,0.00125,,,
6/26/2018,USD/CAD,2D,25,Risk_Reversal,0.003525,,,
6/26/2018,USD/CAD,2D,50,Volatility,0.078558047,,,
6/26/2018,USD/CAD,2M,10,Butterfly,0.00505,,,
6/26/2018,USD/CAD,2M,10,Risk_Reversal,0.00645,,,
6/26/2018,USD/CAD,2M,25,Butterfly,0.001875,,,
6/26/2018,USD/CAD,2M,25,Risk_Reversal,0.003775,,,
6/26/2018,USD/CAD,2M,50,Volatility,0.0706,,,
6/26/2018,USD/CAD,2W,10,Butterfly,0.003725,,,
6/26/2018,USD/CAD,2W,10,Risk_Reversal,0.004475,,,
6/26/2018,USD/CAD,2W,25,Butterfly,0.001425,,,
6/26/2018,USD/CAD,2W,25,Risk_Reversal,0.002625,,,
6/26/2018,USD/CAD,2W,50,Volatility,0.07135,,,
6/26/2018,USD/CAD,2Y,10,Butterfly,0.00915,,,
6/26/2018,USD/CAD,2Y,10,Risk_Reversal,0.01515,,,
6/26/2018,USD/CAD,2Y,25,Butterfly,0.00305,,,
6/26/2018,USD/CAD,2Y,25,Risk_Reversal,0.00845,,,
6/26/2018,USD/CAD,2Y,50,Volatility,0.0761,,,
6/26/2018,USD/CAD,3D,10,Butterfly,0.005,,,
6/26/2018,USD/CAD,3D,10,Risk_Reversal,0.00585,,,
6/26/2018,USD/CAD,3D,25,Butterfly,0.001275,,,
6/26/2018,USD/CAD,3D,25,Risk_Reversal,0.003375,,,
6/26/2018,USD/CAD,3D,50,Volatility,0.061070741,,,
6/26/2018,USD/CAD,3M,10,Butterfly,0.00575,,,
6/26/2018,USD/CAD,3M,10,Risk_Reversal,0.008,,,
6/26/2018,USD/CAD,3M,25,Butterfly,0.002125,,,
6/26/2018,USD/CAD,3M,25,Risk_Reversal,0.004625,,,
6/26/2018,USD/CAD,3M,50,Volatility,0.0696,,,
6/26/2018,USD/CAD,3Y,10,Butterfly,0.00925,,,
6/26/2018,USD/CAD,3Y,10,Risk_Reversal,0.017875,,,
6/26/2018,USD/CAD,3Y,25,Butterfly,0.003075,,,
6/26/2018,USD/CAD,3Y,25,Risk_Reversal,0.00985,,,
6/26/2018,USD/CAD,3Y,50,Volatility,0.079675,,,
6/26/2018,USD/CAD,4D,10,Butterfly,0.0042,,,
6/26/2018,USD/CAD,4D,10,Risk_Reversal,0.005575,,,
6/26/2018,USD/CAD,4D,25,Butterfly,0.0013,,,
6/26/2018,USD/CAD,4D,25,Risk_Reversal,0.003225,,,
6/26/2018,USD/CAD,4D,50,Volatility,0.064489819,,,
6/26/2018,USD/CAD,4Y,10,Butterfly,0.0095,,,
6/26/2018,USD/CAD,4Y,10,Risk_Reversal,0.02,,,
6/26/2018,USD/CAD,4Y,25,Butterfly,0.0031,,,
6/26/2018,USD/CAD,4Y,25,Risk_Reversal,0.010925,,,
6/26/2018,USD/CAD,4Y,50,Volatility,0.08395,,,
6/26/2018,USD/CAD,5Y,10,Butterfly,0.01,,,
6/26/2018,USD/CAD,5Y,10,Risk_Reversal,0.0217,,,
6/26/2018,USD/CAD,5Y,25,Butterfly,0.0033,,,
6/26/2018,USD/CAD,5Y,25,Risk_Reversal,0.01175,,,
6/26/2018,USD/CAD,5Y,50,Volatility,0.0876,,,
6/26/2018,USD/CAD,6M,10,Butterfly,0.00755,,,
6/26/2018,USD/CAD,6M,10,Risk_Reversal,0.00975,,,
6/26/2018,USD/CAD,6M,25,Butterfly,0.0026,,,
6/26/2018,USD/CAD,6M,25,Risk_Reversal,0.00565,,,
6/26/2018,USD/CAD,6M,50,Volatility,0.07075,,,
6/26/2018,USD/CAD,9M,10,Butterfly,0.0081,,,
6/26/2018,USD/CAD,9M,10,Risk_Reversal,0.01145,,,
6/26/2018,USD/CAD,9M,25,Butterfly,0.0028,,,
6/26/2018,USD/CAD,9M,25,Risk_Reversal,0.00655,,,
6/26/2018,USD/CAD,9M,50,Volatility,0.07125,,,
